% Model:              brazing.mph
% Version:            COMSOL 5.3.0.316
% Date:               Oct 19 2018, 22:23
% Dimension:          1
% Nodes:              145
% Expressions:        1
% Description:        Line graph
% x                       Height
0                         637.1854284073988
1.8037553861809572E-4     637.4408570135859
3.5951128344368776E-4     637.6434035895893
5.377561773732229E-4      637.7930681354095
7.154644111300318E-4      637.8898506510463
8.929933875627798E-4      637.9337511364997
0.0010707015910786408     637.9247695917697
0.0012489464247083767     637.8629060168563
0.0014280820795340731     637.7481604117595
0.0016084574989771061     637.5805327764793
0.0017793134314883058     637.5139222611876
0.0019491114898538484     637.4228999429763
0.002118149876008701      637.3074658218457
0.0022867308232763497     637.1676198977955
0.002455159027530182      637.0033621708258
0.0026237400128558564     636.8146926409365
0.0027927784749207734     636.6016113081276
0.0029625766466419693     636.3641181723993
0.0031334327293582195     636.1022132337516
0.0033042867504275058     635.9249500148069
0.0034740828875811486     635.7428478615818
0.0036431193341009516     635.5559067740768
0.0038116983146850476     635.3641267522917
0.003980124516686077      635.1675077962263
0.004148703455848711      634.9660499058809
0.004317739819749776      634.7597530812553
0.004487535833529769      634.5486173223495
0.004658389691119368      634.3326426291637
0.0048387629974717405     634.2085433735126
0.005017896580971026      634.0900349799642
0.005196139373513023      633.9771174485192
0.0053738455543625        633.8697907791773
0.005551372514551955      633.7680549719383
0.005729078726427549      633.6719100268025
0.005907321580834967      633.5813559437696
0.006086455256670912      633.4963927228398
0.006266828685292636      633.4170203640132
0.0064472042239161545     633.5609578575071
0.0066263399687470585     633.7134804760599
0.00680458486268183       633.8745882196721
0.0069822930964438265     634.0442810883435
0.007159822072881748      634.2225590820741
0.007337530276402798      634.4094222008639
0.007515775110037768      634.6048704447128
0.007694910764868775      634.8089038136208
0.007875286184317232      635.0215223075883
0.008046142116827224      635.2920013741902
0.008215940175191578      635.554458165914
0.008384978561345261      635.8088926827601
0.008553559508611747      636.0553049247283
0.008721987712864422      636.2936948918186
0.008890568698188937      636.5240625840311
0.00905960716025268       636.7464080013657
0.009229405331972688      636.9607311438223
0.009400261414687729      637.167032011401
0.009571115435747398      637.4841239998082
0.009740911572891598      637.7718227163958
0.009909948019402086      638.030128161164
0.010078526999976944      638.2590403341129
0.010246953201968763      638.4585592352422
0.010415532141122159      638.6286848645522
0.010584568505013912      638.7694172220424
0.010754364518784467      638.8807563077136
0.010925218376364454      638.962702121565
0.011105591682722255      639.1225179972793
0.01128472526622686       639.2367028698426
0.011462968058774099      639.3052567392554
0.011640674239628768      639.3281796055174
0.011818201199823401      639.3054714686289
0.01199590741170419       639.2371323285895
0.012174150266116847      639.1231621853993
0.012353283941958112      638.9635610390586
0.012533657370585264      638.7583288895671
0.01271403176453574       638.7156351567916
0.012893166387683227      638.6196889411343
0.013071410176518557      638.4704902425959
0.013249117315197753      638.2680390611762
0.013426645199902413      638.012335396875
0.013604352308338922      637.7033792496923
0.01378259603687098       637.3411706196282
0.013961730570013379      636.9257095066827
0.014142104844781908      636.456995910856
0.014312959944399205      636.0570297630125
0.014482757184992078      635.6333115495038
0.014651794764271453      635.1858412703303
0.014820374911240972      634.7146189254919
0.014988802317395246      634.2196445149887
0.01515738250242126       633.7009180388202
0.015326420157607648      633.158439496987
0.015496217511551624      632.5922088894887
0.015667072761367945      632.0022262163254
0.01583792791479403       631.4865460758765
0.016007725163749622      630.978910924619
0.01617676270725794       630.4793207625534
0.01634534277588875       629.9877755896795
0.016513770062946447      629.5042754059971
0.01668235009015449       629.0288202115065
0.016851387551041475      628.5614100062076
0.017021184676619543      628.1020447901002
0.017192039666560827      627.6507245631846
0.017372413817338207      627.2758916853361
0.017551548228302124      626.9275693523911
0.017729791836073705      626.6057575643499
0.017907498824762332      626.3104563212124
0.018085026590318725      626.0416656229787
0.018262733610032132      625.7993854696485
0.018440977279666457      625.5836158612221
0.018620111782963036      625.3943567976993
0.018800486056004474      625.2316082790803
0.018980860449944497      625.313822855246
0.019159995073081745      625.4278828260697
0.019338238861906984      625.5737881915518
0.01951594600057618       625.751538951692
0.019693473885270874      625.9611351064906
0.019871180993697383      626.2025766559473
0.020049424722219357      626.4758636000621
0.02022855925535152       626.7809959388352
0.0204089335301096        627.1179736722665
0.02057978862980686       627.5154949050319
0.020749585870478253      627.916534501778
0.020918623449835097      628.3210924625052
0.021087203596881453      628.7291687872134
0.021255631003112355      629.1407634759024
0.021424211188215206      629.5558765285725
0.021593248843479067      629.9745079452235
0.021763046197501558      630.3966577258553
0.02193390144739785       630.8223258704681
0.022104756600747556      631.3859038386476
0.02227455384962815       631.9243425317438
0.02244359139306247       632.4376419497573
0.022612171461619885      632.9258020926878
0.022780598748604386      633.3888229605352
0.022949178775739036      633.8267045532997
0.02311821623655202       634.239446870981
0.023288013362055097      634.6270499135796
0.023458868351919994      634.9895136810951
0.02363924250270423       635.4178883400609
0.023818376913674867      635.8001669655713
0.023996620521453065      636.1363495576265
0.02417432751014825       636.4264361162266
0.02435185527571118       636.6704266413715
0.024529562295431146      636.8683211330612
0.02470780596507209       637.0201195912956
0.024886940468375387      637.1258220160747
0.025067314741423676      637.1854284073988
